# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
20

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,AAOLYXEQWJ,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,26,33
# x,y,z,u,w
2.113676368353933128e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.073257404077297110e+02, 0.000000000000000000e+00, -2.607294699478454603e-02, 0.000000000000000000e+00, 4.173311976788848798e-02
2.015175993511873571e+02, 0.000000000000000000e+00, -7.526262671793332304e-02, 0.000000000000000000e+00, 9.595583006934514658e-02
1.933443826657219802e+02, 0.000000000000000000e+00, -1.688682790583413140e-01, 0.000000000000000000e+00, 1.722603643809275942e-01
1.821757787880100352e+02, 0.000000000000000000e+00, -3.454331741494152674e-01, 0.000000000000000000e+00, 2.765358755368439447e-01
1.675112812911077356e+02, 0.000000000000000000e+00, -6.656273965762585787e-01, 0.000000000000000000e+00, 4.134663504172014781e-01
1.492342926831141199e+02, 0.000000000000000000e+00, -1.200998860881300700e+00, 0.000000000000000000e+00, 5.841612375912467181e-01
1.278782564916442084e+02, 0.000000000000000000e+00, -1.991676300971429336e+00, 0.000000000000000000e+00, 7.836633902842906618e-01
1.047248922643202889e+02, 0.000000000000000000e+00, -2.969871945408121938e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
8.157060248531772118e+01, 0.000000000000000000e+00, -3.925559962128733815e+00, 0.000000000000000000e+00, 1.216336609715709338e+00
6.022383995103047027e+01, 0.000000000000000000e+00, -4.935513263170141940e+00, 0.000000000000000000e+00, 1.415838762408753171e+00
